file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,98,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,3,11
style.css,99,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,3,26
style.css,100,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,15
style.css,101,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,102,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,2,59
style.css,103,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,7
style.css,104,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,16
style.css,105,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,106,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,107,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,13
style.css,108,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,13
style.css,109,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,12
style.css,110,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,13
style.css,111,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,10
style.css,112,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,2,57
style.css,113,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,2,51
style.css,114,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,115,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,116,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,1,14
style.css,117,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,13
style.css,118,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,119,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,58
